, ,Area,Mean,Min,Max,X,Y
17_022_Gm,5,0,72,72,72,2170,1927
17_022_Gm,6,0,22,22,22,1825.333,1950.667
17_022_Gm,7,0,54,54,54,1321,2015
17_022_Gm,8,0,43,43,43,904,2050.333
17_022_Gm,9,0,112,112,112,888,2195.667
17_022_Gm,10,0,114,114,114,1222.667,2279.333
17_022_Gm,11,0,137,137,137,1768.667,2422.667
17_022_Gm,12,0,157,157,157,2304,2435.667
17_022_Gm,13,0,80,80,80,518.667,2130.333
17_022_Gm,14,0,76,76,76,2474,1570
17_022_Gm,15,0,118,118,118,3115.333,1596.667
17_023_Gm,1,0,179,179,179,2985,1953
17_023_Gm,2,0,88,88,88,2745,2049
17_023_Gm,3,0,49,49,49,2700,1887
17_023_Gm,4,0,80,80,80,2215.333,2011
17_023_Gm,5,0,59,59,59,2178.667,1745
17_023_Gm,6,0,59,59,59,1854,1789.667
17_023_Gm,7,0,61,61,61,1249.333,1853
17_023_Gm,8,0,65,65,65,797.667,1906
17_023_Gm,9,0,132,132,132,824.333,2070.667
17_023_Gm,10,0,170,170,170,1202.667,2156.667
17_023_Gm,11,0,155,155,155,1735.5,2276
17_023_Gm,12,0,219,219,219,2259.5,2275.5
17_023_Gm,13,0,141,141,141,420,2000.667
17_023_Gm,14,0,113,113,113,172,1357.333
17_023_Gm,15,0,71,71,71,906.5,1378.5
17_024_Gm,1,0,225,225,225,2746,1878
17_024_Gm,2,0,74,74,74,2497,1975
17_024_Gm,3,0,21,21,21,2450,1801
17_024_Gm,4,0,39,39,39,1939,1901.667
17_024_Gm,5,0,34,34,34,1923,1634.5
17_024_Gm,6,0,22,22,22,1518.667,1680
17_024_Gm,7,0,42,42,42,864,1801
17_024_Gm,8,0,36,36,36,496.667,1869.667
17_024_Gm,9,0,124,124,124,484,2035.667
17_024_Gm,10,0,189,189,189,850,2143.5
17_024_Gm,11,0,183,183,183,1438.5,2248
17_024_Gm,12,0,188,188,188,2013.667,2229.667
17_024_Gm,13,0,82,82,82,76,1888
17_024_Gm,14,0,67,67,67,2551,1328.333
17_024_Gm,15,0,47,47,47,3193,1360.75
17_025_Gm,1,0,177,177,177,2641.5,1590.5
17_025_Gm,2,0,98,98,98,2451,1688.5
17_025_Gm,3,0,32,32,32,2418,1565.333
